shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10006,43.458649,-80.457400,470004
10006,43.458785,-80.457395,470005
10006,43.458834,-80.455678,470006
10006,43.458794,-80.455229,470007
10006,43.458672,-80.454672,470008
10006,43.458534,-80.454135,470009
10006,43.458534,-80.454135,480001
10006,43.458373,-80.453505,480002
10006,43.457661,-80.450751,480003
10006,43.457478,-80.450056,480004
10006,43.457310,-80.449453,480005
10006,43.457310,-80.449453,490001
10006,43.457240,-80.449204,490002
10006,43.457144,-80.448955,490003
10006,43.456888,-80.448491,490004
10006,43.456575,-80.448101,490005
10006,43.456215,-80.447798,490006
10006,43.455136,-80.447092,490007
10006,43.454600,-80.446738,490008
10006,43.454322,-80.446563,490009
10006,43.454322,-80.446563,500001
10006,43.453935,-80.446318,500002
10006,43.452880,-80.445629,500003
10006,43.452880,-80.445629,510001
10006,43.452059,-80.445093,510002
10006,43.451272,-80.444586,510003
10006,43.451272,-80.444586,520001
10006,43.450881,-80.444334,520002
10006,43.449700,-80.443580,520003
10006,43.449089,-80.443222,520004
10006,43.448729,-80.443042,520005
10006,43.448729,-80.443042,530001
10006,43.448572,-80.442963,530002
10006,43.447968,-80.442662,530003
10006,43.447339,-80.442326,530004
10006,43.447305,-80.442311,530005
10006,43.447305,-80.442311,540001
10006,43.446914,-80.442147,540002
10006,43.446383,-80.441856,540003
10006,43.446100,-80.441665,540004
10006,43.445747,-80.441362,540005
10006,43.445747,-80.441362,550001
10006,43.445594,-80.441231,550002
10006,43.444587,-80.440345,550003
10006,43.443181,-80.439142,550004
10006,43.442992,-80.438975,550005
10006,43.442992,-80.438975,560001
10006,43.442560,-80.438594,560002
10006,43.442155,-80.438157,560003
10006,43.441882,-80.437818,560004
10006,43.441518,-80.437293,560005
10006,43.441182,-80.436698,560006
10006,43.440213,-80.434714,560007
10006,43.439982,-80.434317,560008
10006,43.439711,-80.433914,560009
10006,43.439307,-80.433414,560010
10006,43.439016,-80.433100,560011
10006,43.439016,-80.433100,570001
10006,43.438359,-80.432391,570002
10006,43.436914,-80.430819,570003
10006,43.436672,-80.431208,570004
10006,43.436672,-80.431208,580001
10006,43.436334,-80.431750,580002
10006,43.435924,-80.432230,580003
10006,43.435597,-80.432749,580004
10006,43.435441,-80.432583,580005
10006,43.435441,-80.432583,590001
10006,43.435016,-80.432133,590002
10006,43.434605,-80.431794,590003
10006,43.434289,-80.431435,590004
10006,43.434136,-80.431230,590005
10006,43.434136,-80.431230,600001
10006,43.433667,-80.430602,600002
10006,43.432779,-80.429644,600003
10006,43.432682,-80.429552,600004
10006,43.432455,-80.429756,600005
10006,43.432455,-80.429756,610001
10006,43.432103,-80.430073,610002
10006,43.431250,-80.430899,610003
10006,43.430570,-80.431591,610004
10006,43.430426,-80.431714,610005
10006,43.430271,-80.431810,610006
10006,43.430184,-80.431847,610007
10006,43.430184,-80.431847,620001
10006,43.430097,-80.431883,620002
10006,43.429818,-80.431924,620003
10006,43.429354,-80.431899,620004
10006,43.429155,-80.431902,620005
10006,43.428993,-80.431933,620006
10006,43.428771,-80.432013,620007
10006,43.428771,-80.432013,630001
10006,43.428670,-80.432049,630002
10006,43.428476,-80.432191,630003
10006,43.427671,-80.432679,630004
10006,43.427514,-80.432755,630005
10006,43.427514,-80.432755,640001
10006,43.427193,-80.432908,640002
10006,43.426681,-80.433017,640003
10006,43.426396,-80.433093,640004
10006,43.426130,-80.433181,640005
10006,43.425930,-80.433273,640006
10006,43.425314,-80.433612,640007
10006,43.425061,-80.433789,640008
10006,43.424503,-80.434242,640009
10006,43.424398,-80.434333,640010
10006,43.424265,-80.434475,640011
10006,43.423827,-80.435075,640012
10006,43.423452,-80.435673,640013
10006,43.423384,-80.435796,640014
10006,43.423201,-80.436119,640015
10006,43.423201,-80.436119,650001
10006,43.422691,-80.437021,650002
10006,43.422557,-80.437254,650003
10006,43.422083,-80.438076,650004
10006,43.422046,-80.438164,650005
10006,43.421970,-80.438318,650006
10006,43.421878,-80.438532,650007
10006,43.421777,-80.438814,650008
10006,43.421683,-80.439167,650009
10006,43.421649,-80.439362,650010
10006,43.421412,-80.440733,650011
10006,43.421278,-80.441520,650012
10006,43.421742,-80.441664,650013
